come, <p>訪れる / 来る</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/come'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=come'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20come:%20&hashtags=800English'>[フィードバック]</a></small></p>
get, <p>受け取る / 手に入れる</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/get'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=get'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20get:%20&hashtags=800English'>[フィードバック]</a></small></p>
give, <p>あたえる</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/give'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=give'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20give:%20&hashtags=800English'>[フィードバック]</a></small></p>
go, <p>行く</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/go'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=go'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20go:%20&hashtags=800English'>[フィードバック]</a></small></p>
keep, <p> 保つ / 保存する</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/keep'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=keep'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20keep:%20&hashtags=800English'>[フィードバック]</a></small></p>
let, <p>させる/ 許す</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/let'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=let'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20let:%20&hashtags=800English'>[フィードバック]</a></small></p>
make, <p>作る</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/make'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=make'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20make:%20&hashtags=800English'>[フィードバック]</a></small></p>
put, <p>置く</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/put'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=put'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20put:%20&hashtags=800English'>[フィードバック]</a></small></p>
seem, <p>見える / 思える</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/seem'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=seem'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20seem:%20&hashtags=800English'>[フィードバック]</a></small></p>
take, <p>取る / つかむ</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/take'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=take'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20take:%20&hashtags=800English'>[フィードバック]</a></small></p>
be, <p>ある / 存在する</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/be'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=be'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20be:%20&hashtags=800English'>[フィードバック]</a></small></p>
do, <p>する / 振るまう</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/do'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=do'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20do:%20&hashtags=800English'>[フィードバック]</a></small></p>
have, <p>持っている / 身につけている</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/have'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=have'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20have:%20&hashtags=800English'>[フィードバック]</a></small></p>
say, <p>言う / 話す / 命ずる</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/say'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=say'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20say:%20&hashtags=800English'>[フィードバック]</a></small></p>
see, <p>見る / 見える / 知っている</p><p>【動詞】</p><p><small><a href='http://ejje.weblio.jp/content/see'>[ 英和 ]</a> <a href='http://www.ldoceonline.com/search/?q=see'>[ 英英 ]</a> <a href='https://twitter.com/intent/tweet?text=%40y_catch%20see:%20&hashtags=800English'>[フィードバック]</a></small></p>
